Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location Where Sexual Violence Was Committed,Reported Perpetrator,Reported Perpetrator Name,Single And Group Perpetrators,Weapon Carried/Used,Survivor or Victim,Survivor Or Victim Sex,Adult or Minor ,Type of SV,SV Context,Classification,Number of Reported Victims,Reported Deaths Following the Sexual Violence,SIND Event ID
2023-09-13,,Nigeria,NGA,Delta State,5.5,5.9,(2) 25 km Precision ,"Street, Road or Field",Other,Fulani herdsmen,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,5,None,41317
2023-09-05,,Nigeria,NGA,Ekiti State,7.6,5.2,(2) 25 km Precision ,"Street, Road or Field",Criminal,Criminal,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",StrippedNaked/TornClothes,Other,Intimation,1,None,41316
2023-08-24,,Nigeria,NGA,Rivers State,4.7,7,(2) 25 km Precision ,School,NSA,Unidentified Armed Actor,Group Perpetrator,Knife,Civilian,Female,"Adult, ",SexualAssault,CRSV,Mass SV Assault,2,None,41141
2023-08-24,,Nigeria,NGA,Rivers State,4.7,6.9,(2) 25 km Precision ,Victims Home,NSA,Unidentified Armed Actor,Group Perpetrator,Knife,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,2,None,41404
2023-08-16,,Nigeria,NGA,Lagos State,6.5,3.3,(2) 25 km Precision ,School,Employee,Employee,Single Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,Safeguarding,Single Rape/SV Assault ,1,None,41315
2023-08-01,,Nigeria,NGA,Taraba State,8.8,11.3,(2) 25 km Precision ,"Street, Road or Field",NSA,Unidentified Armed Actor,No Information,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,No Information,1,1,41403
2023-07-24,,Nigeria,NGA,Delta State,5.5,6,(2) 25 km Precision ,Health Facility,NSA,Unidentified Armed Actor,Single Perpetrator,Knife,Health Worker,Female,"Adult, ",Rape,Health Workers Experienced Sexual Violence,Single Rape/SV Assault ,1,None,41402
2023-07-16,,Nigeria,NGA,Abia State,5.3,7.4,"(3) District, Communicipality or Commune ","Street, Road or Field",No Information,No Information,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,Other,Gang SV AssaultGang SV Assault,1,1,40572
2023-06-26,,Nigeria,NGA,Katsina State,12.2,7.3,(2) 25 km Precision ,No Information,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,3,None,39800
2023-06-25,,Nigeria,NGA,Katsina State,12.2,7.3,(2) 25 km Precision ,In Captivity,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,3,None,40570
